image_file,code,group_key,pool,name,description,type,part,integrity,material,type_is_missing,part_is_missing,integrity_is_missing,material_is_missing,label_is_uncertain,noise_score,quality_flag,flag_uncertain,flag_incomplete,flag_conflict,flag_rare,noise_reasons
data/raw/images/ВО-1л58-2017-0022_orig.jpg,ВО-1л58-2017-0022,ВО-1л58-2017-0022,train_seed,Плитка,Плитки (напольной ?) (метлахской ?) серо-бежевой фр-т,прочее,часть не указана,фрагмент,керамика,1,1,0,0,1,0.6,uncertain,1,1,0,0,uncertain_text;incomplete_2
data/raw/images/Т-12-Р2-3018_orig.jpg,Т-12-Р2-3018,Т-12-Р2-3018,train_seed,Крышка,Предмета деревянного со сквозным отверстием (крышка от бочки?) фр-т,крышка,часть не указана,фрагмент,прочее,0,1,0,1,1,0.6,uncertain,1,1,0,0,uncertain_text;incomplete_2
data/raw/images/М102-2012-2-1095_orig.jpg,М102-2012-2-1095,М102-2012-2-1095,train_seed,Изразец,Изразца(?) белоглиняного с белой поливой фр-т,изразец,часть не указана,фрагмент,керамика,0,1,0,0,1,0.5,uncertain,1,1,0,0,uncertain_text;incomplete_1
data/raw/images/ВО-1л58-2017-0767_orig.jpg,ВО-1л58-2017-0767,ВО-1л58-2017-0767,test_gold,Изразец,"Изразец-перемычка белоглиняный со следами белой поливы и синей (?) росписи, с отверстием в румпе",изразец,часть не указана,целый,керамика,0,1,0,0,1,0.5,uncertain,1,1,0,0,uncertain_text;incomplete_1
data/raw/images/ВО-1л58-2017-0077_orig.jpg,ВО-1л58-2017-0077,ВО-1л58-2017-0077,train_seed,Крышка,Чайника/сахарницы (?) фарфорового с белой поливой внутри и снаружи  с золотой полосой крышки фр-т,крышка,часть не указана,фрагмент,фарфор,0,1,0,0,1,0.5,uncertain,1,1,0,0,uncertain_text;incomplete_1
data/raw/images/Нц-24-026_orig.jpg,Нц-24-026,Нц-24-026,train_seed,Тарелка,Тарелки (?) стеклянной края фр-т,тарелка,часть не указана,фрагмент,стекло,0,1,0,0,1,0.5,uncertain,1,1,0,0,uncertain_text;incomplete_1
data/raw/images/Нц-35-151_orig.jpg,Нц-35-151,Нц-35-151,train_seed,Тарелка,Сосуда (тарелки?) фарфорового донной части фр-т,тарелка,часть не указана,фрагмент,фарфор,0,1,0,0,1,0.5,uncertain,1,1,0,0,uncertain_text;incomplete_1
data/raw/images/КБ-2014-Р2-0643_orig.jpg,КБ-2014-Р2-0643,КБ-2014-Р2-0643,train_seed,Крышка,Сосуда парфюмерного (?) прямоугольного прозрачного стекла крышка с рельефной надписью сверху фр-ая,крышка,часть не указана,фрагмент,стекло,0,1,0,0,1,0.5,uncertain,1,1,0,0,uncertain_text;incomplete_1
data/raw/images/ВО-1л58-2017-1005_orig.jpg,ВО-1л58-2017-1005,ВО-1л58-2017-1005,train_seed,Изразец,"Изразца (карнизного пояса-каблучка углового?) красноглиняного с белой поливой фр-т, румпа отбита",изразец,часть не указана,фрагмент,керамика,0,1,0,0,1,0.5,uncertain,1,1,0,0,uncertain_text;incomplete_1
data/raw/images/КБ-2014-Р2-0755_orig.jpg,КБ-2014-Р2-0755,КБ-2014-Р2-0755,train_seed,Изразец,Изразец (?) полуколонна красноглиняный с рельефным орнаментом фр-ый,изразец,часть не указана,фрагмент,керамика,0,1,0,0,1,0.5,uncertain,1,1,0,0,uncertain_text;incomplete_1
data/raw/images/ВО-1л58-2017-1042_orig.jpg,ВО-1л58-2017-1042,ВО-1л58-2017-1042,train_seed,Изразец,"Изразец-городок белоглиняный зубчатый (корона ?) с белой поливой, фрагментированный",изразец,часть не указана,фрагмент,керамика,0,1,0,0,1,0.5,uncertain,1,1,0,0,uncertain_text;incomplete_1
data/raw/images/М102-2012-1-0843_orig.jpg,М102-2012-1-0843,М102-2012-1-0843,train_seed,Тарелка,Сосуда (тарелки ?) фаянсового с белой поливой внутри и снаружи края фр-т,тарелка,часть не указана,фрагмент,фаянс,0,1,0,0,1,0.5,uncertain,1,1,0,0,uncertain_text;incomplete_1
data/raw/images/М102-2012-1-0833_orig.jpg,М102-2012-1-0833,М102-2012-1-0833,train_seed,Тарелка,Сосуда (тарелки ?) фаянсового с белой поливой внутри и снаружи края фр-т,тарелка,часть не указана,фрагмент,фаянс,0,1,0,0,1,0.5,uncertain,1,1,0,0,uncertain_text;incomplete_1
data/raw/images/М102-2012-1-0827_orig.jpg,М102-2012-1-0827,М102-2012-1-0827,test_gold,Тарелка,Сосуда (тарелки ?) фаянсового с белой поливой внутри и снаружи края фр-т,тарелка,часть не указана,фрагмент,фаянс,0,1,0,0,1,0.5,uncertain,1,1,0,0,uncertain_text;incomplete_1
